image,curl_type,thickness,density,part_position,part_shape
Frame00992-org.jpg,wavy,medium,medium,2,curved
Frame00444-org.jpg,wavy,medium,medium,3,unknown
Frame01012-org.jpg,wavy,medium,medium,3,curved
Frame00881-org.jpg,wavy,thick,dense,3,unknown
Frame01028-org.jpg,wavy,medium,medium,3,unknown
Frame00315-org.jpg,wavy,thick,medium,3,unknown
Frame00417-org.jpg,straight,medium,sparse,3,unknown
Frame00901-org.jpg,wavy,medium,medium,3,straight
Frame00614-org.jpg,wavy,thick,dense,1,straight
Frame00803-org.jpg,wavy,medium,medium,3,unknown
Frame00456-org.jpg,wavy,thick,medium,3,straight
Frame00595-org.jpg,wavy,medium,medium,3,unknown
Frame00813-org.jpg,wavy,thick,dense,3,unknown
Frame00144-org.jpg,wavy,thick,medium,3,unknown
Frame00777-org.jpg,wavy,thick,dense,1,straight
Frame00206-org.jpg,wavy,thick,medium,3,unknown
Frame00320-org.jpg,wavy,thick,dense,3,unknown
Frame00028-org.jpg,wavy,medium,medium,3,unknown
Frame00368-org.jpg,wavy,thick,dense,3,unknown
Frame00515-org.jpg,wavy,thick,medium,3,unknown
Frame00035-org.jpg,wavy,thick,dense,1,curved
Frame00956-org.jpg,wavy,medium,medium,3,unknown
Frame00287-org.jpg,wavy,medium,dense,3,unknown
Frame00909-org.jpg,wavy,thick,medium,5,straight
Frame00899-org.jpg,wavy,thick,medium,3,unknown
Frame00399-org.jpg,wavy,medium,medium,3,unknown
Frame00183-org.jpg,wavy,medium,medium,3,unknown
Frame00588-org.jpg,wavy,medium,medium,3,unknown
Frame00860-org.jpg,wavy,thick,dense,3,unknown
Frame00873-org.jpg,wavy,medium,dense,5,straight
Frame00743-org.jpg,wavy,medium,medium,3,unknown
Frame00527-org.jpg,wavy,medium,medium,1,curved
Frame00093-org.jpg,wavy,thick,sparse,3,unknown
Frame00917-org.jpg,wavy,medium,sparse,3,unknown
Frame00500-org.jpg,wavy,thick,dense,3,unknown
Frame00269-org.jpg,wavy,thick,medium,3,straight
Frame00109-org.jpg,wavy,medium,dense,3,unknown
Frame00582-org.jpg,wavy,medium,dense,3,unknown
Frame00133-org.jpg,wavy,medium,medium,3,unknown
